feature,importance
volume_volatility_50,427
volume_trend,337
volume_roll_mean_100,321
volume_momentum_10,294
move_size,187
volume_roll_max_20,181
open_momentum_50,178
high_momentum_20,166
volume_roll_min_20,149
low_momentum_20,149
close_roll_range_10,142
open_volatility_100,127
open_momentum_20,126
close_momentum_20,126
volume_roll_std_50,124
volume_roll_range_50,123
high_roll_range_10,117
volume_roll_mean_10,107
volume_roll_mean_50,87
low_roll_range_10,81
high_roll_min_10,80
volume_roll_sum_100,79
lower_shadow,77
price_range_pct,66
low_roll_range_50,59
high_momentum_50,58
open_momentum_100,55
high_volatility_20,53
volume_roll_std_100,52
volume,52
volume_roll_mean_20,51
high_volatility_10,49
open_roll_range_5,47
open_roll_max_50,45
high_roll_range_50,45
volume_roll_range_100,44
volume_roll_min_5,42
high_roll_std_100,39
volume_roll_range_20,37
low_volatility_10,37
low_momentum_50,35
high_volatility_100,33
low_roll_std_50,33
open_roll_std_100,32
low_roll_std_10,32
volume_roll_min_100,32
open,31
open_roll_range_10,31
volume_roll_min_50,29
close_roll_std_10,27
volume_change,27
low_roll_std_100,27
open_roll_std_5,26
close_momentum_50,26
price_range,25
volume_momentum_5,25
open_volatility_5,22
volume_roll_sum_10,22
open_roll_std_50,21
volume_volatility_20,21
high_volatility_50,20
high_roll_std_10,20
open_volatility_20,20
volume_roll_max_50,19
open_volatility_50,19
open_roll_mean_100,19
open_roll_std_10,17
open_momentum_5,17
low_roll_min_20,17
volume_roll_min_10,16
open_roll_range_50,16
high_momentum_100,16
high_roll_min_20,16
high_roll_range_20,15
close_roll_range_20,15
low_momentum_100,14
close_volatility_10,14
open_roll_mean_10,13
high_roll_max_50,13
close_roll_std_100,13
volume_roll_max_100,13
upper_shadow,12
body_size,12
high_momentum_5,12
volume_volatility_5,11
volume_roll_sum_50,11
volume_roll_range_10,10
low_roll_max_50,10
low_roll_max_20,10
low_volatility_100,10
high_roll_std_20,10
open_roll_max_10,10
volume_roll_max_10,9
volume_roll_std_5,9
open_roll_min_50,9
open_roll_range_100,9
low_roll_max_5,9
open_roll_min_10,9
high_roll_mean_100,9
volume_price_ratio,8
volume_volatility_100,8
low_momentum_5,8
low_roll_min_10,8
high_momentum_10,8
low_roll_range_20,8
volume_roll_sum_20,7
volume_roll_std_10,7
open_momentum_10,7
low_roll_max_10,7
open_roll_max_100,7
low_roll_std_5,7
high_roll_mean_5,7
high,7
open_roll_range_20,6
high_roll_std_50,6
close_volatility_100,6
low_roll_range_100,6
high_roll_range_100,6
low_momentum_10,6
high_roll_max_10,6
volume_close_diff,5
close_volatility_20,5
open_roll_mean_20,5
open_roll_std_20,5
volume_momentum_20,5
open_volatility_10,5
open_roll_min_100,5
close,4
volume_roll_range_5,4
volume_volatility_10,4
low_volatility_50,4
volume_close_corr,4
close_momentum_100,4
high_roll_min_100,3
high_roll_min_50,3
volume_momentum_50,3
low_roll_mean_20,3
volume_roll_std_20,3
low_roll_mean_100,3
volume_momentum_100,3
volume_volatility,3
low_volatility_5,3
low_roll_range_5,3
high_roll_mean_20,2
high_roll_std_5,2
open_roll_min_5,2
high_roll_min_5,2
open_roll_mean_5,2
open_roll_min_20,2
close_roll_std_50,2
low_volatility_20,2
low_roll_std_20,2
close_roll_range_50,2
open_roll_mean_50,2
low_roll_mean_5,1
high_roll_mean_10,1
volume_roll_max_5,1
volume_roll_mean_5,1
volume_close_ratio,1
body_size_pct,1
close_roll_range_100,1
high_roll_max_5,1
close_volatility_5,1
close_roll_std_5,1
close_roll_range_5,1
close_momentum_5,1
close_roll_mean_5,1
high_roll_range_5,1
open_roll_max_5,1
high_roll_max_100,1
high_roll_mean_50,1
close_volatility_50,1
close_roll_min_20,1
low_roll_mean_10,0
close_roll_min_5,0
low,0
high_volatility_5,0
low_roll_min_5,0
close_roll_mean_10,0
close_roll_min_10,0
close_momentum_10,0
close_roll_max_5,0
high_roll_max_20,0
open_roll_max_20,0
close_roll_max_10,0
close_roll_min_50,0
low_roll_mean_50,0
close_roll_max_20,0
close_roll_mean_20,0
close_roll_std_20,0
close_roll_max_50,0
low_roll_min_50,0
close_roll_mean_50,0
close_roll_max_100,0
low_roll_min_100,0
low_roll_max_100,0
close_roll_mean_100,0
close_roll_min_100,0
volume_roll_sum_5,0
volume_close_cross,0
minute,0
hour,0
day_of_week,0
is_weekend,0
hour_sin,0
second,0
hour_cos,0
minute_sin,0
second_sin,0
minute_cos,0
second_cos,0
hourly_volatility,0
minute_volatility,0
time_to_move,0
